IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.20.11.143,4,4,0.00,207.18,0.00,N/A
104.16.214.144,4,4,0.00,207.58,0.00,N/A
198.41.199.226,4,4,0.00,207.68,0.00,N/A
104.16.120.226,4,4,0.00,207.74,0.00,N/A
104.17.116.88,4,4,0.00,208.15,0.00,N/A
162.159.81.207,4,4,0.00,208.42,0.00,N/A
162.159.228.161,4,4,0.00,208.57,0.00,N/A
104.16.37.210,4,4,0.00,209.24,0.00,N/A
104.16.102.135,4,4,0.00,209.59,0.00,N/A
173.245.58.44,4,4,0.00,210.02,0.00,N/A
104.17.70.202,4,4,0.00,210.18,0.00,N/A
104.18.135.135,4,4,0.00,210.34,0.00,N/A
162.159.94.92,4,4,0.00,210.55,0.00,N/A
104.16.116.48,4,4,0.00,210.85,0.00,N/A
173.245.59.248,4,4,0.00,211.07,0.00,N/A
162.159.234.207,4,4,0.00,211.78,0.00,N/A
104.17.91.46,4,4,0.00,211.88,0.00,N/A
108.162.193.109,4,4,0.00,213.10,0.00,N/A
104.17.65.85,4,4,0.00,213.17,0.00,N/A
104.16.12.112,4,4,0.00,215.07,0.00,N/A
103.31.4.34,4,4,0.00,216.44,0.00,N/A
104.16.163.205,4,4,0.00,217.63,0.00,N/A
162.159.197.85,4,4,0.00,218.77,0.00,N/A
104.17.157.221,4,4,0.00,223.80,0.00,N/A
172.64.87.200,4,4,0.00,224.21,0.00,N/A
104.17.136.152,4,4,0.00,227.52,0.00,N/A
104.21.5.151,4,4,0.00,230.15,0.00,N/A
108.162.196.67,4,4,0.00,230.29,0.00,N/A
104.21.87.12,4,4,0.00,235.61,0.00,N/A
104.21.37.93,4,4,0.00,242.52,0.00,N/A
141.101.115.73,4,4,0.00,244.58,0.00,N/A
188.114.96.137,4,4,0.00,252.50,0.00,N/A
104.21.60.26,4,4,0.00,255.15,0.00,N/A
172.67.167.217,4,4,0.00,258.89,0.00,N/A
104.21.27.19,4,4,0.00,258.90,0.00,N/A
188.114.98.135,4,4,0.00,263.97,0.00,N/A
104.21.58.36,4,4,0.00,272.11,0.00,N/A
104.21.205.227,4,4,0.00,274.85,0.00,N/A
104.21.102.197,4,4,0.00,281.14,0.00,N/A
104.21.32.114,4,4,0.00,281.81,0.00,N/A
104.21.101.17,4,4,0.00,284.66,0.00,N/A
188.114.97.209,4,4,0.00,295.34,0.00,N/A
104.21.69.240,4,4,0.00,300.49,0.00,N/A
104.27.206.137,4,4,0.00,307.20,0.00,N/A
141.101.121.233,4,4,0.00,307.42,0.00,N/A
104.27.197.0,4,4,0.00,307.91,0.00,N/A
141.101.120.89,4,4,0.00,317.92,0.00,N/A
172.67.66.13,4,3,0.25,68.56,0.00,N/A
172.65.232.105,4,3,0.25,69.39,0.00,N/A
104.26.10.234,4,3,0.25,69.43,0.00,N/A
104.20.20.194,4,3,0.25,69.82,0.00,N/A
104.20.19.74,4,3,0.25,75.20,0.00,N/A
104.26.13.68,4,3,0.25,80.22,0.00,N/A
104.20.23.186,4,3,0.25,81.12,0.00,N/A
172.65.228.134,4,3,0.25,81.60,0.00,N/A
172.67.74.15,4,3,0.25,82.48,0.00,N/A
172.65.227.156,4,3,0.25,84.91,0.00,N/A
104.20.21.148,4,3,0.25,85.23,0.00,N/A
104.20.17.226,4,3,0.25,94.84,0.00,N/A
104.26.14.196,4,3,0.25,95.47,0.00,N/A
104.17.158.54,4,3,0.25,159.40,0.00,N/A
104.17.154.148,4,3,0.25,176.09,0.00,N/A
104.17.145.142,4,3,0.25,179.35,0.00,N/A
104.17.159.203,4,3,0.25,181.85,0.00,N/A
104.19.107.58,4,3,0.25,183.41,0.00,N/A
104.17.202.110,4,3,0.25,183.74,0.00,N/A
104.16.150.63,4,3,0.25,184.34,0.00,N/A
162.159.15.45,4,3,0.25,184.78,0.00,N/A
104.17.6.223,4,3,0.25,185.06,0.00,N/A
104.19.177.127,4,3,0.25,185.64,0.00,N/A
104.20.6.223,4,3,0.25,185.86,0.00,N/A
172.65.187.118,4,3,0.25,185.91,0.00,N/A
104.16.235.36,4,3,0.25,186.00,0.00,N/A
104.17.167.52,4,3,0.25,186.16,0.00,N/A
104.18.94.51,4,3,0.25,186.21,0.00,N/A
104.16.70.194,4,3,0.25,186.51,0.00,N/A
104.16.50.43,4,3,0.25,187.00,0.00,N/A
104.18.38.66,4,3,0.25,187.06,0.00,N/A
104.17.172.202,4,3,0.25,187.24,0.00,N/A
104.18.123.189,4,3,0.25,187.29,0.00,N/A
172.64.69.64,4,3,0.25,187.78,0.00,N/A
104.17.181.163,4,3,0.25,188.12,0.00,N/A
104.19.119.146,4,3,0.25,188.22,0.00,N/A
104.17.75.200,4,3,0.25,188.26,0.00,N/A
104.17.198.235,4,3,0.25,188.48,0.00,N/A
